AOI,trans,refl,trans_redo,refl_redo
0,92.0633724141844,0.220115213180959,,
5,90.9509862180996,9.07092968279261,91.3867932675702,0.091205062451192
10,91.4362797716204,5.37259216902894,,
15,91.0531602381613,5.59388381301135,,
20,89.9004957638048,6.54736535444558,,
25,89.1664486344214,7.81524476398327,,
30,86.7621876516178,11.2458341912999,,
35,83.0960541747943,14.6594246396028,,
40,73.0954891438585,23.8616383746743,,
45,53.5860048490018,32.5507134684382,,
50,31.1397450423323,69.0635113404875,31.8565010398495,66.7990476510591
55,16.1368639781555,83.8698028496467,,
60,7.59672386765704,75.9670385964905,6.99067164666369,90.5423786599691
65,5.76372081232566,91.5131552793584,,
70,6.91903622676217,89.3624681787065,,
